label,text
spam,you won 10000000 rupees
spam,claim your free gifts
ham, meeting at 5 pm
ham,helo how are you
label,text
ham,Meeting scheduled at tomorrow morning
spam,Act now to receive your reward
ham,Team meeting moved to 5 PM
ham,Lunch at Monday?
ham,Call me when you are free
spam,Earn money fast with this simple trick
spam,Congratulations! You are selected for a free movie tickets
spam,You won $1000! Click to claim
ham,Thanks for your help
ham,Happy birthday! Have a great year ahead
ham,Please review the attached document
spam,Claim your $1000 prize immediately
spam,Congratulations! You are selected for a free gift card
ham,Thanks for your help
ham,Happy birthday! Have a great year ahead
spam,Limited time offer! Get 70% discount
ham,Project deadline is Thursday
spam,You won $1000! Click to claim
ham,Meeting scheduled at Monday
spam,Exclusive deal just for you
spam,Exclusive deal just for you
ham,Project deadline is Thursday
spam,Act now to receive your reward
spam,Get rich quick with our program
spam,Act now to receive your reward
ham,Meeting scheduled at Friday
ham,Project deadline is Wednesday
ham,Can you send the report today
spam,Win a free vacation now
spam,You won $5000! Click to claim
ham,Lunch at 3 PM?
ham,Team meeting moved to 5 PM
ham,Team meeting moved to 5 PM
ham,Thanks for your help
spam,Earn money fast with this simple trick
ham,Meeting scheduled at 5 PM
ham,Team meeting moved to 3 PM
ham,Can you send the report today
spam,Earn money fast with this simple trick
ham,Project deadline is Thursday
spam,Exclusive deal just for you
spam,Limited time offer! Get 50% discount
ham,Thanks for your help
spam,Act now to receive your reward
spam,Win a free vacation now
ham,Project deadline is Wednesday
ham,Let us catch up tomorrow
spam,Earn money fast with this simple trick
spam,Exclusive deal just for you
spam,Congratulations! You are selected for a free movie tickets
spam,Free entry to win laptop
spam,Exclusive deal just for you
spam,Act now to receive your reward
spam,Win a free gift card now
spam,Congratulations! You are selected for a free movie tickets
spam,Limited time offer! Get 30% discount
ham,Please review the attached document
spam,Get rich quick with our program
spam,Limited time offer! Get 70% discount
ham,Happy birthday! Have a great year ahead
ham,Call me when you are free
ham,Happy birthday! Have a great year ahead
ham,Thanks for your help
ham,Please review the attached document
ham,Happy birthday! Have a great year ahead
ham,Thanks for your help
ham,Thanks for your help
spam,Congratulations! You are selected for a free movie tickets
ham,Lunch at tomorrow morning?
spam,Win a free vacation now
spam,Free entry to win movie tickets
spam,Free entry to win iPhone
ham,Lunch at 3 PM?
ham,Team meeting moved to Monday
spam,Free entry to win movie tickets
spam,Act now to receive your reward
ham,Lunch at 3 PM?
ham,Lunch at Friday?
spam,Get rich quick with our program
spam,"Claim your ₹1,00,000 prize immediately"
spam,Limited time offer! Get 60% discount
ham,Meeting scheduled at 5 PM
spam,Free entry to win gift card
ham,Project deadline is Friday
ham,Lunch at Monday?
ham,Thanks for your help
spam,Exclusive deal just for you
ham,Please review the attached document
spam,Free entry to win laptop
ham,Happy birthday! Have a great year ahead
spam,Win a free movie tickets now
ham,Call me when you are free
ham,Can you send the report today
ham,Lunch at tomorrow morning?
ham,Project deadline is Wednesday
spam,Act now to receive your reward
ham,Call me when you are free
spam,Earn money fast with this simple trick
ham,Team meeting moved to Friday
spam,You won $10000! Click to claim
spam,Earn money fast with this simple trick
spam,Act now to receive your reward
ham,Call me when you are free
ham,Let us catch up tomorrow
spam,Exclusive deal just for you
spam,You won $1000! Click to claim
ham,Let us catch up tomorrow
ham,Lunch at Monday?
spam,Limited time offer! Get 40% discount
ham,Can you send the report today
ham,Can you send the report today
spam,Free entry to win gift card
spam,Limited time offer! Get 30% discount
spam,Earn money fast with this simple trick
spam,Earn money fast with this simple trick
spam,Limited time offer! Get 30% discount
ham,Meeting scheduled at 3 PM
spam,Earn money fast with this simple trick
ham,Project deadline is Friday
spam,Get rich quick with our program
spam,Act now to receive your reward
spam,Limited time offer! Get 10% discount
ham,Lunch at Monday?
ham,Call me when you are free
ham,Please review the attached document
spam,Get rich quick with our program
spam,"You won ₹1,00,000! Click to claim"
spam,Exclusive deal just for you
ham,Happy birthday! Have a great year ahead
ham,Meeting scheduled at 5 PM
ham,Happy birthday! Have a great year ahead
ham,Let us catch up tomorrow
spam,Free entry to win vacation
spam,Limited time offer! Get 20% discount
ham,Project deadline is Monday
ham,Can you send the report today
ham,Can you send the report today
spam,Limited time offer! Get 60% discount
spam,Exclusive deal just for you
spam,Act now to receive your reward
spam,Claim your $10000 prize immediately
spam,Get rich quick with our program
ham,Can you send the report today
spam,Free entry to win smartwatch
spam,Congratulations! You are selected for a free vacation
ham,Can you send the report today
spam,Earn money fast with this simple trick
ham,Lunch at Friday?
spam,You won $10000! Click to claim
spam,Free entry to win laptop
ham,Let us catch up tomorrow
spam,Claim your $10000 prize immediately
spam,Get rich quick with our program
ham,Project deadline is Friday
spam,Free entry to win vacation
ham,Can you send the report today
spam,"You won ₹1,00,000! Click to claim"
spam,Act now to receive your reward
ham,Team meeting moved to tomorrow morning
spam,Claim your $10000 prize immediately
ham,Let us catch up tomorrow
spam,Act now to receive your reward
ham,Please review the attached document
ham,Team meeting moved to 5 PM
spam,Act now to receive your reward
ham,Thanks for your help
spam,Exclusive deal just for you
ham,Thanks for your help
spam,Earn money fast with this simple trick
ham,Thanks for your help
ham,Meeting scheduled at tomorrow morning
ham,Can you send the report today
ham,Project deadline is Friday
ham,Happy birthday! Have a great year ahead
spam,Claim your $1000 prize immediately
spam,Free entry to win vacation
spam,Claim your $10000 prize immediately
ham,Meeting scheduled at 5 PM
ham,Let us catch up tomorrow
spam,Free entry to win movie tickets
spam,Claim your $1000 prize immediately
spam,Congratulations! You are selected for a free iPhone
spam,Free entry to win smartwatch
ham,Thanks for your help
spam,Exclusive deal just for you
ham,Call me when you are free
ham,Call me when you are free
spam,Limited time offer! Get 40% discount
spam,Congratulations! You are selected for a free vacation
ham,Lunch at tomorrow morning?
ham,Let us catch up tomorrow
ham,Please review the attached document
spam,Exclusive deal just for you
spam,"Claim your ₹50,000 prize immediately"
ham,Thanks for your help
ham,Lunch at Monday?
spam,Get rich quick with our program
ham,Lunch at 5 PM?
ham,Meeting scheduled at 3 PM
ham,Meeting scheduled at tomorrow morning
